TF (knockdown),Gene Symbol,Logratio(log10),Fold change
Pou5f1,Pgm1,0.3394,2.184
Pou5f1,Gramd3,0.339,2.182
Pou5f1,Gls2,0.3389,2.182
Pou5f1,Tuft1,0.3386,2.18
Pou5f1,Calcoco2,0.3386,2.18
Pou5f1,Speg,0.3385,2.18
Pou5f1,Cgn,0.3379,2.177
Pou5f1,1700019E19Rik,0.3379,2.177
Pou5f1,Creb3,0.3379,2.177
Pou5f1,Wnt9a,0.3376,2.175
Pou5f1,Hoxc8,0.3375,2.175
Pou5f1,Ripk4,0.3367,2.171
Pou5f1,Cxx1a,0.3367,2.171
Pou5f1,Cldn9,0.3367,2.171
Pou5f1,Stxbp5,0.3366,2.17
Pou5f1,D130040H23Rik,0.3366,2.17
Pou5f1,9030420J04Rik,0.3364,2.169
Pou5f1,Mylip,0.3363,2.169
Pou5f1,Krt24,0.3363,2.169
Pou5f1,Rab3il1,0.3362,2.168
Pou5f1,Gpr158,0.336,2.167
Pou5f1,1700010A17Rik,0.3359,2.167
Pou5f1,Cdc42ep1,0.3356,2.165
Pou5f1,Arhgap21,0.3355,2.165
Pou5f1,Sytl4,0.3354,2.164
Pou5f1,Src,0.3354,2.164
Pou5f1,LOC100043823,0.3353,2.164
Pou5f1,Tnfrsf1a,0.3352,2.163
Pou5f1,Emp2,0.3352,2.163
Pou5f1,9630045H20Rik,0.3346,2.16
Pou5f1,Cmtm3,0.3343,2.159
Pou5f1,Fbxo36,0.3342,2.158
Pou5f1,Mrpl23,0.3342,2.158
Pou5f1,Jund,0.3342,2.158
Pou5f1,Itga7,0.3342,2.158
Pou5f1,Ptgfrn,0.3336,2.155
Pou5f1,Casp6,0.3335,2.155
Pou5f1,Zfp672,0.3335,2.155
Pou5f1,Flt3,0.3333,2.154
Pou5f1,Gfi1b,0.3332,2.153
Pou5f1,Grin3b,0.333,2.152
Pou5f1,Ppl,0.3328,2.151
Pou5f1,Grhl3,0.3328,2.151
Pou5f1,Ppnr,0.3328,2.151
Pou5f1,Gstt1,0.3327,2.151
Pou5f1,Pdlim7,0.3322,2.148
Pou5f1,4833439F03Rik,0.3317,2.146
Pou5f1,Stx11,0.3316,2.145
Pou5f1,Spin2,0.3315,2.145
Pou5f1,Cd82,0.3315,2.145
Pou5f1,2310014F06Rik,0.3312,2.143
Pou5f1,Aph1b,0.3309,2.142
Pou5f1,Anapc10,0.3309,2.142
Pou5f1,AW548124,0.3307,2.141
Pou5f1,Zbtb16,0.3307,2.141
Pou5f1,Zfp324,0.3305,2.14
Pou5f1,Phc2,0.3304,2.139
Pou5f1,Irs2,0.3304,2.139
Pou5f1,Prkar1b,0.3303,2.139
Pou5f1,Pkd1l3,0.33,2.137
Pou5f1,St8sia1,0.3298,2.136
Pou5f1,A730011C13Rik,0.3296,2.135
Pou5f1,Fasl,0.3289,2.132
Pou5f1,Cdo1,0.3288,2.132
Pou5f1,Lif,0.3287,2.131
Pou5f1,Tm6sf1,0.3283,2.129
Pou5f1,Cideb,0.3281,2.128
Pou5f1,Col4a2,0.3277,2.126
Pou5f1,Slc26a2,0.3276,2.126
Pou5f1,Map3k7ip3,0.3275,2.125
Pou5f1,Mid2,0.3273,2.124
Pou5f1,Samd14,0.3272,2.124
Pou5f1,Drp2,0.3272,2.124
Pou5f1,Tsc22d3,0.327,2.123
Pou5f1,BC046404,0.327,2.123
Pou5f1,Gpr177,0.3268,2.122
Pou5f1,Mmp23,0.3266,2.121
Pou5f1,Lass2,0.3265,2.12
Pou5f1,Abcb9,0.3265,2.12
Pou5f1,Anks6,0.3264,2.12
Pou5f1,BC057371,0.3264,2.12
Pou5f1,Eomes,0.3263,2.119
Pou5f1,Flnc,0.3258,2.117
Pou5f1,Slc5a3,0.3256,2.116
Pou5f1,Mmp15,0.3255,2.115
Pou5f1,Efna1,0.3255,2.115
Pou5f1,Slc36a3,0.3249,2.113
Pou5f1,LOC674794,0.3249,2.113
Pou5f1,Gm648,0.3248,2.112
Pou5f1,Scn1b,0.3246,2.111
Pou5f1,Tpm3,0.324,2.108
Pou5f1,Ifnk,0.3239,2.108
Pou5f1,Nkain4,0.3236,2.106
Pou5f1,B3gnt8,0.3231,2.104
Pou5f1,2610008E11Rik,0.3226,2.101
Pou5f1,Lad1,0.3222,2.099
Pou5f1,Sri,0.3216,2.097
Pou5f1,Zbtb44,0.3212,2.095
Pou5f1,Nrxn3,0.3212,2.095
Pou5f1,Zbtb10,0.3206,2.092
Pou5f1,Rnf19b,0.3205,2.091
Pou5f1,Klhl13,0.3202,2.09
Pou5f1,Man2a1,0.3196,2.087
Pou5f1,Mettl7b,0.3191,2.084
Pou5f1,Lix1,0.319,2.084
Pou5f1,Galntl4,0.3184,2.081
Pou5f1,1700029J07Rik,0.3182,2.08
Pou5f1,4632428N05Rik,0.3182,2.08
Pou5f1,Kctd10,0.318,2.079
Pou5f1,Kcnh1,0.318,2.079
Pou5f1,Grip2,0.3178,2.078
Pou5f1,Slc25a10,0.3176,2.077
Pou5f1,Mdfic,0.3173,2.076
Pou5f1,Gna14,0.3171,2.075
Pou5f1,Acvr1,0.317,2.074
Pou5f1,Gja4,0.3168,2.073
Pou5f1,Pcp4l1,0.3166,2.073
Pou5f1,Magt1,0.3163,2.071
Pou5f1,Hoxb13,0.3162,2.071
Pou5f1,Inpp4a,0.3161,2.07
Pou5f1,Hat1,0.3161,2.07
Pou5f1,Uap1l1,0.3154,2.067
Pou5f1,Sept8,0.3152,2.066
Pou5f1,Atp6ap1,0.315,2.065
Pou5f1,Tnnc1,0.3149,2.064
Pou5f1,Frs2,0.3148,2.064
Pou5f1,Spib,0.3146,2.063
Pou5f1,BC025076,0.3143,2.062
Pou5f1,Mbnl2,0.3142,2.061
Pou5f1,Tspan18,0.314,2.06
Pou5f1,Dbndd2,0.3139,2.06
Pou5f1,9130227C08Rik,0.3138,2.059
Pou5f1,Slc30a2,0.3136,2.058
Pou5f1,Dzip1l,0.3134,2.057
Pou5f1,Pmvk,0.3132,2.056
Pou5f1,Fbp2,0.3131,2.056
Pou5f1,Tdrd7,0.3131,2.056
Pou5f1,Ascl2,0.313,2.055
Pou5f1,Whrn,0.3128,2.054
Pou5f1,Bhlhb3,0.3123,2.052
Pou5f1,Slc35f3,0.3123,2.052
Pou5f1,4931406H21Rik,0.3121,2.051
Pou5f1,Rtn4rl1,0.312,2.051
Pou5f1,Edil3,0.3118,2.05
Pou5f1,6030455H03Rik,0.3114,2.048
Pou5f1,Hspa4l,0.3114,2.048
Pou5f1,Tusc3,0.3113,2.047
Pou5f1,Soat1,0.3112,2.047
Pou5f1,Fstl4,0.311,2.046
Pou5f1,Ccl25,0.3108,2.045
Pou5f1,6030438J01,0.3102,2.042
Pou5f1,Sfxn5,0.3098,2.04
Pou5f1,Sdc4,0.3096,2.039
Pou5f1,Med12,0.3094,2.038
Pou5f1,Akt3,0.3093,2.038
Pou5f1,3110082D06Rik,0.3089,2.036
Pou5f1,1110046J04Rik,0.3086,2.035
Pou5f1,Gjb3,0.3086,2.035
Pou5f1,Rbm47,0.3085,2.034
Pou5f1,Ddr1,0.3084,2.034
Pou5f1,1700020C07Rik,0.3082,2.033
Pou5f1,Ror2,0.3082,2.033
Pou5f1,Anxa1,0.3078,2.031
Pou5f1,Cdh2,0.3077,2.03
Pou5f1,Adssl1,0.3074,2.029
Pou5f1,Olfr1428,0.3071,2.028
Pou5f1,Oaf,0.307,2.027
Pou5f1,Elovl1,0.3069,2.027
Pou5f1,Cxcl16,0.3064,2.024
Pou5f1,Cxcl1,0.3063,2.024
Pou5f1,LOC625574,0.3057,2.021
Pou5f1,Hmga2-ps1,0.3057,2.021
Pou5f1,Reep1,0.3056,2.021
Pou5f1,Dag1,0.3055,2.02
Pou5f1,Slc25a43,0.3055,2.02
Pou5f1,Phlda2,0.3053,2.019
Pou5f1,Parp4,0.3053,2.019
Pou5f1,2810406K13Rik,0.3053,2.019
Pou5f1,Trpc1,0.3051,2.018
Pou5f1,Rap2c,0.3051,2.018
Pou5f1,Gng12,0.305,2.018
Pou5f1,Slc16a4,0.3049,2.017
Pou5f1,F11r,0.3049,2.017
Pou5f1,Trpv4,0.3048,2.017
Pou5f1,Zfp608,0.3048,2.017
Pou5f1,AA415398,0.3048,2.017
Pou5f1,Rgmb,0.3045,2.016
Pou5f1,Dbndd1,0.3042,2.014
Pou5f1,Acot11,0.304,2.013
Pou5f1,Cryge,0.3038,2.012
Pou5f1,Pacsin2,0.3036,2.011
Pou5f1,Scd2,0.3033,2.01
Pou5f1,Gm766,0.3023,2.005
Pou5f1,Sox5,0.3023,2.005
Pou5f1,Slc4a2,0.3022,2.005
Pou5f1,Npas4,0.3019,2.004
Pou5f1,Prmt2,0.3018,2.003
Pou5f1,Mast1,0.3018,2.003
Pou5f1,Ilk,0.3017,2.003
Pou5f1,2310045A20Rik,0.3017,2.003
Pou5f1,Glis3,0.3011,2
Pou5f1,Itpr2,0.3011,2
Pou5f1,Akr1b8,-0.3022,0.4986
Pou5f1,Guf1,-0.3023,0.4985
Pou5f1,Plekhm1,-0.3024,0.4984
Pou5f1,Hap1,-0.3029,0.4978
Pou5f1,Rhov,-0.3031,0.4976
Pou5f1,Flywch2,-0.3032,0.4975
Pou5f1,Higd1b,-0.3035,0.4971
Pou5f1,Kctd12,-0.3036,0.497
Pou5f1,2310039E09Rik,-0.3038,0.4968
Pou5f1,Cebpd,-0.3041,0.4964
Pou5f1,AA987161,-0.3043,0.4962
Pou5f1,Hr,-0.3044,0.4961
Pou5f1,Nf2,-0.3047,0.4957
Pou5f1,Dnajc6,-0.3048,0.4956
Pou5f1,Defcr-rs1,-0.3051,0.4953
Pou5f1,Kcnt2,-0.3053,0.4951
Pou5f1,Slc7a9,-0.3053,0.4951
Pou5f1,Ttc25,-0.3058,0.4945
Pou5f1,Ctsw,-0.3061,0.4941
Pou5f1,Helb,-0.3063,0.4939
Pou5f1,Smtnl2,-0.3068,0.4934
Pou5f1,Atp1b2,-0.307,0.4931
Pou5f1,Gsdmd,-0.3071,0.493
Pou5f1,EG626058,-0.3072,0.4929
Pou5f1,Srgn,-0.3073,0.4928
Pou5f1,Gdf3,-0.3075,0.4926
Pou5f1,LOC668030,-0.3078,0.4922
Pou5f1,Eng,-0.308,0.492
Pou5f1,Shisa3,-0.3082,0.4918
Pou5f1,Nrg4,-0.3083,0.4916
Pou5f1,Ccdc28b,-0.3086,0.4913
Pou5f1,Pim2,-0.3087,0.4912
Pou5f1,2410018E23Rik,-0.3092,0.4906
Pou5f1,Kcns3,-0.3094,0.4904
Pou5f1,Thbs3,-0.3101,0.4896
Pou5f1,Pola1,-0.3103,0.4894
Pou5f1,A430107P09Rik,-0.3105,0.4892
Pou5f1,C4b,-0.3108,0.4888
Pou5f1,Sox30,-0.3114,0.4882
Pou5f1,Dennd2c,-0.3115,0.488
Pou5f1,Irx6,-0.3118,0.4877
Pou5f1,Gjc2,-0.3119,0.4876
Pou5f1,P2ry1,-0.312,0.4875
Pou5f1,Clcn2,-0.3121,0.4874
Pou5f1,Krt14,-0.313,0.4864
Pou5f1,Sbk1,-0.3144,0.4848
Pou5f1,2010205J10Rik,-0.3144,0.4848
Pou5f1,2010001J22Rik,-0.3147,0.4845
Pou5f1,1110032A13Rik,-0.3147,0.4845
Pou5f1,Esam1,-0.3148,0.4843
Pou5f1,E130120F12Rik,-0.3148,0.4843
Pou5f1,Setx,-0.315,0.4841
Pou5f1,Tm7sf3,-0.3152,0.4839
Pou5f1,1700049G17Rik,-0.3155,0.4836
Pou5f1,Tcp11l2,-0.3155,0.4836
Pou5f1,Calca,-0.3158,0.4832
Pou5f1,Apoe,-0.3158,0.4832
Pou5f1,5730528L13Rik,-0.3162,0.4828
Pou5f1,Tnfrsf1b,-0.3169,0.482
Pou5f1,Cd1d1,-0.317,0.4819
Pou5f1,Ctss,-0.3171,0.4818
Pou5f1,2310040G24Rik,-0.3171,0.4818
Pou5f1,4833403J16Rik,-0.3171,0.4818
Pou5f1,AA388235,-0.3175,0.4813
Pou5f1,Inhbe,-0.3176,0.4812
Pou5f1,Gabrb3,-0.3178,0.481
Pou5f1,ND5,-0.3179,0.4809
Pou5f1,Rbmy1a1,-0.3182,0.4806
Pou5f1,Apoc2,-0.3189,0.4798
Pou5f1,Hes2,-0.3193,0.4794
Pou5f1,Itpka,-0.3197,0.4789
Pou5f1,Cryba1,-0.3197,0.4789
Pou5f1,V1ra3,-0.32,0.4786
Pou5f1,Efhb,-0.3202,0.4784
Pou5f1,Qser1,-0.3207,0.4778
Pou5f1,Ccdc125,-0.3208,0.4777
Pou5f1,Gpx6,-0.3216,0.4768
Pou5f1,Slc34a3,-0.3217,0.4767
Pou5f1,Prkcb1,-0.3223,0.4761
Pou5f1,A930037O16Rik,-0.3229,0.4754
Pou5f1,Mgst1,-0.3229,0.4754
Pou5f1,Prps2,-0.3233,0.475
Pou5f1,E2f2,-0.3235,0.4747
Pou5f1,Kcnn2,-0.3235,0.4747
Pou5f1,Zfp654,-0.324,0.4742
Pou5f1,Pvt1,-0.3242,0.474
Pou5f1,Tdh,-0.3244,0.4738
Pou5f1,Rian,-0.3246,0.4735
Pou5f1,Ncam1,-0.3248,0.4733
Pou5f1,Mep1b,-0.3257,0.4723
Pou5f1,1810024B03Rik,-0.3258,0.4722
Pou5f1,Etaa1,-0.3263,0.4717
Pou5f1,Cpne9,-0.3265,0.4715
Pou5f1,1110019K23Rik,-0.3266,0.4714
Pou5f1,4933436C20Rik,-0.3266,0.4714
Pou5f1,Epdr1,-0.3267,0.4713
Pou5f1,Trib2,-0.327,0.4709
Pou5f1,Dmc1,-0.3272,0.4707
Pou5f1,V1rb3,-0.3275,0.4704
Pou5f1,Lphn3,-0.3277,0.4702
Pou5f1,1700007E06Rik,-0.3282,0.4696
Pou5f1,Gpr160,-0.3291,0.4687
Pou5f1,Etv5,-0.3295,0.4682
Pou5f1,Ng23,-0.3297,0.468
Pou5f1,A930011O12Rik,-0.3297,0.468
Pou5f1,Sirt1,-0.3301,0.4676
Pou5f1,LOC195531,-0.3303,0.4674
Pou5f1,Cpa2,-0.3307,0.4669
Pou5f1,9030201C23Rik,-0.3307,0.4669
Pou5f1,Asxl3,-0.3307,0.4669
Pou5f1,Cyp2s1,-0.3311,0.4665
Pou5f1,Was,-0.3311,0.4665
Pou5f1,Gtf2a1l,-0.3313,0.4663
Pou5f1,Vwa2,-0.3315,0.4661
Pou5f1,C79127,-0.3317,0.4659
Pou5f1,Batf2,-0.3322,0.4653
Pou5f1,Capsl,-0.3323,0.4652
Pou5f1,Gm693,-0.3323,0.4652
Pou5f1,Slco1b2,-0.3325,0.465
Pou5f1,0610039H22Rik,-0.3325,0.465
Pou5f1,Thtpa,-0.3326,0.4649
Pou5f1,Xlr5c,-0.333,0.4645
Pou5f1,Tmhs,-0.3333,0.4641
Pou5f1,Igsf21,-0.3335,0.4639
Pou5f1,Tchh,-0.3336,0.4638
Pou5f1,Kcnk4,-0.3339,0.4635
Pou5f1,Ifitm6,-0.3339,0.4635
Pou5f1,A630077B13Rik,-0.334,0.4634
Pou5f1,Pvrl4,-0.3341,0.4633
Pou5f1,BC057170,-0.3343,0.4631
Pou5f1,EG665954,-0.3343,0.4631
Pou5f1,1810014B01Rik,-0.3349,0.4624
Pou5f1,LOC674367,-0.3349,0.4624
Pou5f1,Plxna4,-0.3352,0.4621
Pou5f1,Myo15b,-0.3353,0.462
Pou5f1,Ifitm7,-0.3353,0.462
Pou5f1,Dhdh,-0.3357,0.4616
Pou5f1,Zap70,-0.3357,0.4616
Pou5f1,Jmjd1a,-0.3362,0.4611
Pou5f1,RP23-331I21.14,-0.3363,0.4609
Pou5f1,A730049H05Rik,-0.3369,0.4603
Pou5f1,Dbc1,-0.3374,0.4598
Pou5f1,Itga9,-0.3374,0.4598
Pou5f1,Prss35,-0.3376,0.4596
Pou5f1,Dock2,-0.3379,0.4593
Pou5f1,Slfn9,-0.3381,0.459
Pou5f1,Rasgef1c,-0.3383,0.4588
Pou5f1,4833442J19Rik,-0.3385,0.4586
Pou5f1,EG238217,-0.3387,0.4584
Pou5f1,Pde1b,-0.3392,0.4579
Pou5f1,Stambpl1,-0.3393,0.4578
Pou5f1,Acp6,-0.3397,0.4574
Pou5f1,Yipf7,-0.3397,0.4574
Pou5f1,Defcr6,-0.3399,0.4571
Pou5f1,Itgal,-0.34,0.457
Pou5f1,Dmrtc2,-0.3402,0.4568
Pou5f1,Kank3,-0.3403,0.4567
Pou5f1,Cga,-0.3405,0.4565
Pou5f1,Morc2b,-0.3406,0.4564
Pou5f1,Gm98,-0.3412,0.4558
Pou5f1,Mgat3,-0.3414,0.4556
Pou5f1,Csad,-0.3417,0.4553
Pou5f1,Defcr17,-0.3423,0.4546
Pou5f1,Dtna,-0.3423,0.4546
Pou5f1,AU018797,-0.3428,0.4541
Pou5f1,BC021614,-0.3429,0.454
Pou5f1,Rbmxl2,-0.3431,0.4538
Pou5f1,P2ry12,-0.3432,0.4537
Pou5f1,Igfals,-0.3433,0.4536
Pou5f1,Cd300e,-0.3433,0.4536
Pou5f1,Fgf10,-0.3437,0.4532
Pou5f1,EG435970,-0.3439,0.453
Pou5f1,4932441K18Rik,-0.3439,0.453
Pou5f1,Cyp2j9,-0.3447,0.4521
Pou5f1,Marveld1,-0.3449,0.4519
Pou5f1,B230311B06Rik,-0.3452,0.4516
Pou5f1,Sh3gl3,-0.3454,0.4514
Pou5f1,Tera,-0.3455,0.4513
Pou5f1,Smpdl3b,-0.3458,0.451
Pou5f1,Zbtb2,-0.3461,0.4507
Pou5f1,Frrs1,-0.3472,0.4495
Pou5f1,Cnnm1,-0.3473,0.4494
Pou5f1,Pnma5,-0.3475,0.4492
Pou5f1,Tmprss12,-0.3476,0.4491
Pou5f1,Ang,-0.348,0.4487
Pou5f1,Dus4l,-0.348,0.4487
Pou5f1,2810474O19Rik,-0.3481,0.4486
Pou5f1,Emp1,-0.3483,0.4484
Pou5f1,Spred1,-0.3485,0.4482
Pou5f1,5830482F20Rik,-0.349,0.4477
Pou5f1,Npw,-0.3495,0.4471
Pou5f1,Polr3gl,-0.3496,0.447
Pou5f1,Grtp1,-0.3498,0.4468
Pou5f1,Apom,-0.3499,0.4467
Pou5f1,Atf7ip,-0.3502,0.4464
Pou5f1,Kcnip2,-0.3505,0.4461
Pou5f1,5730410I19Rik,-0.3506,0.446
Pou5f1,Duox1,-0.3509,0.4457
Pou5f1,Sox7,-0.3511,0.4455
Pou5f1,Ubxd5,-0.3511,0.4455
Pou5f1,Sema4a,-0.3513,0.4453
Pou5f1,Tsx,-0.3514,0.4452
Pou5f1,Epgn,-0.3517,0.4449
Pou5f1,Dnahc6,-0.3518,0.4448
Pou5f1,Dclk3,-0.3525,0.4441
Pou5f1,4930449E01Rik,-0.3525,0.4441
Pou5f1,Elavl3,-0.3526,0.444
Pou5f1,Hmcn2,-0.3533,0.4433
Pou5f1,Defa1,-0.3543,0.4422
Pou5f1,2310002J15Rik,-0.3544,0.4421
Pou5f1,RP23-275N21.2,-0.3552,0.4413
Pou5f1,Centa1,-0.3555,0.441
Pou5f1,C78283,-0.3557,0.4408
Pou5f1,Cradd,-0.3559,0.4406
Pou5f1,Bai1,-0.3559,0.4406
Pou5f1,Lrch2,-0.3562,0.4403
Pou5f1,Ticam2,-0.3562,0.4403
Pou5f1,Sntb2,-0.3563,0.4402
Pou5f1,Vav1,-0.3565,0.44
Pou5f1,Mtus1,-0.3567,0.4398
Pou5f1,Esrrb,-0.3572,0.4393
Pou5f1,Zscan10,-0.3573,0.4392
Pou5f1,LOC671741,-0.3576,0.4389
Pou5f1,Tub,-0.3577,0.4388
Pou5f1,Pla2g5,-0.3577,0.4388
Pou5f1,Apol8,-0.3581,0.4384
Pou5f1,Rab39,-0.3582,0.4383
Pou5f1,Six1,-0.3582,0.4383
Pou5f1,1700024G13Rik,-0.3583,0.4382
Pou5f1,Hydin,-0.3583,0.4382
Pou5f1,Mbl2,-0.3584,0.4381
Pou5f1,Tspan8,-0.3585,0.438
Pou5f1,Defcr23,-0.3589,0.4376
Pou5f1,Fgl2,-0.3591,0.4374
Pou5f1,C330020E22Rik,-0.3591,0.4374
Pou5f1,Ptafr,-0.3596,0.4369
Pou5f1,Jhdm1d,-0.3599,0.4366
Pou5f1,A730061H03Rik,-0.36,0.4365
Pou5f1,2600009P04Rik,-0.36,0.4365
Pou5f1,Arhgap30,-0.3601,0.4364
Pou5f1,Rasa4,-0.3602,0.4363
Pou5f1,Upb1,-0.3623,0.4342
Pou5f1,Wdr64,-0.3626,0.4339
Pou5f1,Galnt6,-0.3626,0.4339
Pou5f1,B230206L02Rik,-0.3627,0.4338
Pou5f1,Tiparp,-0.3631,0.4334
Pou5f1,1190002N15Rik,-0.3631,0.4334
Pou5f1,Pml,-0.3633,0.4332
Pou5f1,Psma8,-0.3633,0.4332
Pou5f1,Ebi3,-0.3638,0.4327
Pou5f1,D930048N14Rik,-0.364,0.4325
Pou5f1,4930432J01Rik,-0.3645,0.432
Pou5f1,EG630978,-0.3646,0.4319
Pou5f1,Accn2,-0.3652,0.4313
Pou5f1,Lrrc34,-0.3656,0.4309
Pou5f1,Ddefl1,-0.366,0.4305
Pou5f1,Tmem145,-0.3667,0.4298
Pou5f1,Hells,-0.3667,0.4298
Pou5f1,9030425E11Rik,-0.3673,0.4292
Pou5f1,Efcab1,-0.3676,0.4289
Pou5f1,4930503E14Rik,-0.3679,0.4286
Pou5f1,Adm2,-0.3682,0.4283
Pou5f1,A830025M08,-0.3682,0.4283
Pou5f1,Tgm3,-0.3687,0.4278
Pou5f1,Tmem179,-0.3687,0.4278
Pou5f1,Lonrf3,-0.3688,0.4277
Pou5f1,Tmem47,-0.3688,0.4277
Pou5f1,A630033E08Rik,-0.3691,0.4274
Pou5f1,Eed,-0.3692,0.4273
Pou5f1,Gm590,-0.3697,0.4268
Pou5f1,Lama3,-0.3698,0.4267
Pou5f1,Kcnu1,-0.3699,0.4266
Pou5f1,Rassf2,-0.3704,0.4261
Pou5f1,5730405O15Rik,-0.3709,0.4256
Pou5f1,OTTMUSG00000015161,-0.371,0.4255
Pou5f1,Scg3,-0.3711,0.4255
Pou5f1,Ppm2c,-0.3714,0.4252
Pou5f1,2210417A02Rik,-0.3714,0.4252
Pou5f1,Clstn3,-0.3715,0.4251
Pou5f1,Dach2,-0.3718,0.4248
Pou5f1,I830134H01Rik,-0.3719,0.4247
Pou5f1,Cdk6,-0.3722,0.4244
Pou5f1,Cpsf4l,-0.3723,0.4243
Pou5f1,LOC433524,-0.3724,0.4242
Pou5f1,Nptx2,-0.3732,0.4234
Pou5f1,Tbx21,-0.3732,0.4234
Pou5f1,Vl,-0.3733,0.4233
Pou5f1,Rest,-0.3734,0.4232
Pou5f1,Mycn,-0.3735,0.4231
Pou5f1,Tcerg1l,-0.3738,0.4228
Pou5f1,Zfhx2,-0.3744,0.4222
Pou5f1,Defcr4,-0.3744,0.4222
Pou5f1,Triml1,-0.3746,0.422
Pou5f1,Col13a1,-0.3749,0.4217
Pou5f1,4632404H12Rik,-0.3751,0.4215
Pou5f1,4632417K18Rik,-0.3752,0.4215
Pou5f1,D630023F18Rik,-0.3753,0.4214
Pou5f1,Serpini1,-0.376,0.4207
Pou5f1,Zhx1,-0.3763,0.4204
Pou5f1,Asb4,-0.3763,0.4204
Pou5f1,Hoxd13,-0.3765,0.4202
Pou5f1,Rbpms2,-0.3772,0.4195
Pou5f1,Tm4sf5,-0.3774,0.4193
Pou5f1,LOC432831,-0.3776,0.4191
Pou5f1,Myh4,-0.378,0.4187
Pou5f1,Tdrd12,-0.3781,0.4186
Pou5f1,Gpm6b,-0.3782,0.4186
Pou5f1,E130309D14Rik,-0.3787,0.4181
Pou5f1,1700013G24Rik,-0.3788,0.418
Pou5f1,Gpr135,-0.3799,0.4169
Pou5f1,Porcn,-0.3802,0.4166
Pou5f1,Lmx1a,-0.3802,0.4166
Pou5f1,Caps2,-0.3803,0.4165
Pou5f1,Pecam1,-0.3804,0.4164
Pou5f1,Pigl,-0.3806,0.4162
Pou5f1,1700021A07Rik,-0.3809,0.416
Pou5f1,Notch4,-0.3811,0.4158
Pou5f1,Npc1l1,-0.382,0.4149
Pou5f1,Dnahc8,-0.3822,0.4147
Pou5f1,9030625G05Rik,-0.3826,0.4143
Pou5f1,Etv1,-0.3827,0.4142
Pou5f1,Cysltr2,-0.3828,0.4141
Pou5f1,Dlgap3,-0.3829,0.414
Pou5f1,Enah,-0.383,0.4139
Pou5f1,Trim63,-0.383,0.4139
Pou5f1,A230083N12Rik,-0.3831,0.4139
Pou5f1,Icam1,-0.3834,0.4136
Pou5f1,Irak3,-0.3836,0.4134
Pou5f1,Rcor2,-0.3837,0.4133
Pou5f1,Chac1,-0.3845,0.4125
Pou5f1,Gjc1,-0.3845,0.4125
Pou5f1,Fzd10,-0.3848,0.4122
Pou5f1,Mkrn1,-0.3853,0.4118
Pou5f1,Slc25a36,-0.3858,0.4113
Pou5f1,Parp9,-0.3858,0.4113
Pou5f1,Mreg,-0.386,0.4111
Pou5f1,Nos3,-0.3861,0.411
Pou5f1,Lonrf2,-0.3865,0.4106
Pou5f1,Rims2,-0.3865,0.4106
Pou5f1,LOC434182,-0.3866,0.4105
Pou5f1,Cdrt4,-0.3869,0.4102
Pou5f1,Glul,-0.3869,0.4102
Pou5f1,Tarsl2,-0.3872,0.41
Pou5f1,Cpn1,-0.3875,0.4097
Pou5f1,BC063263,-0.3877,0.4095
Pou5f1,Tceal3,-0.3878,0.4094
Pou5f1,Gm5,-0.3879,0.4093
Pou5f1,Csn3,-0.3882,0.409
Pou5f1,Alk,-0.3883,0.4089
Pou5f1,EG544888,-0.3895,0.4078
Pou5f1,Gfod1,-0.3899,0.4074
Pou5f1,Inpp5d,-0.39,0.4073
Pou5f1,Unc13a,-0.3903,0.407
Pou5f1,2610318N02Rik,-0.3904,0.407
Pou5f1,4933426K21Rik,-0.3904,0.407
Pou5f1,Gprasp2,-0.3907,0.4067
Pou5f1,Mageh1,-0.3917,0.4057
Pou5f1,2900083I11Rik,-0.3923,0.4052
Pou5f1,Fgf17,-0.3924,0.4051
Pou5f1,Lin28b,-0.394,0.4036
Pou5f1,Snta1,-0.3942,0.4034
Pou5f1,Krt12,-0.3952,0.4025
Pou5f1,Crhr2,-0.3952,0.4025
Pou5f1,Naprt1,-0.3955,0.4022
Pou5f1,Rbm44,-0.3957,0.402
Pou5f1,4932425I24Rik,-0.3962,0.4016
Pou5f1,EG434729,-0.3963,0.4015
Pou5f1,B830008H07Rik,-0.3963,0.4015
Pou5f1,Defcr3,-0.3963,0.4015
Pou5f1,Dclk2,-0.3969,0.4009
Pou5f1,Ptpn7,-0.3969,0.4009
Pou5f1,Mylpf,-0.3974,0.4004
Pou5f1,Eif1a,-0.3979,0.4
Pou5f1,Si,-0.3981,0.3998
Pou5f1,Rnf152,-0.3985,0.3994
Pou5f1,Rptn,-0.3992,0.3988
Pou5f1,Sftpd,-0.3993,0.3987
Pou5f1,Cpb1,-0.3998,0.3982
Pou5f1,Slc39a14,-0.4001,0.398
Pou5f1,Tceal6,-0.4005,0.3976
Pou5f1,AW125753,-0.4009,0.3972
Pou5f1,Svet1,-0.4009,0.3972
Pou5f1,D030068K23Rik,-0.4012,0.397
Pou5f1,LOC235852,-0.4019,0.3963
Pou5f1,1700018B08Rik,-0.4019,0.3963
Pou5f1,Them5,-0.402,0.3962
Pou5f1,EG668356,-0.4028,0.3955
Pou5f1,LOC385201,-0.4034,0.395
Pou5f1,Art1,-0.4036,0.3948
Pou5f1,Tex21,-0.4037,0.3947
Pou5f1,Tsga10ip,-0.4038,0.3946
Pou5f1,Chd9,-0.4043,0.3941
Pou5f1,Oit1,-0.405,0.3935
