TF (knockdown),Gene Symbol,Logratio(log10),Fold change
Dnmt3l,Dnmt3l,-0.7688,0.1702
Dppa2,6720432D03Rik,0.3938,2.476
Dppa2,Gm1524,0.3801,2.399
Dppa2,D430039N05Rik,-0.3042,0.4963
Dppa2,LOC619649,-0.3044,0.4961
Dppa2,Prkcb1,-0.3057,0.4946
Dppa2,Fes,-0.3066,0.4936
Dppa2,Homer2,-0.308,0.492
Dppa2,Nat8l,-0.3093,0.4905
Dppa2,Amn,-0.3108,0.4888
Dppa2,Plekhg4,-0.3121,0.4874
Dppa2,F2,-0.3132,0.4861
Dppa2,Lat,-0.317,0.4819
Dppa2,1110020C03Rik,-0.3197,0.4789
Dppa2,A430060F13Rik,-0.3206,0.4779
Dppa2,Penk1,-0.3223,0.4761
Dppa2,Mdfic,-0.3233,0.475
Dppa2,1700020N01Rik,-0.3258,0.4722
Dppa2,Dlk1,-0.3276,0.4703
Dppa2,Cmpk2,-0.3287,0.4691
Dppa2,Rshl1,-0.3303,0.4674
Dppa2,Mst1r,-0.3305,0.4671
Dppa2,Sohlh2,-0.3308,0.4668
Dppa2,9330118A15Rik,-0.3336,0.4638
Dppa2,Dnahc10,-0.3361,0.4612
Dppa2,Zfp536,-0.3395,0.4576
Dppa2,4930523C07Rik,-0.3396,0.4575
Dppa2,Pcsk9,-0.3413,0.4557
Dppa2,EG434050,-0.3423,0.4546
Dppa2,Cdh15,-0.3433,0.4536
Dppa2,Rassf5,-0.345,0.4518
Dppa2,Ankrd2,-0.3463,0.4505
Dppa2,Pde3b,-0.3464,0.4504
Dppa2,Gpd1,-0.3477,0.449
Dppa2,Elmo1,-0.3488,0.4479
Dppa2,Gsc,-0.352,0.4446
Dppa2,Prkd1,-0.3528,0.4438
Dppa2,Arsb,-0.3543,0.4422
Dppa2,Tnxb,-0.3601,0.4364
Dppa2,Kbtbd5,-0.3601,0.4364
Dppa2,Ctss,-0.373,0.4236
Dppa2,Slc32a1,-0.3734,0.4232
Dppa2,Col17a1,-0.3755,0.4212
Dppa2,Krt14,-0.3766,0.4201
Dppa2,1600014K23Rik,-0.3769,0.4198
Dppa2,LOC225475,-0.3777,0.419
Dppa2,Tekt2,-0.3815,0.4154
Dppa2,6720467L15Rik,-0.3833,0.4137
Dppa2,Hoxd1,-0.3875,0.4097
Dppa2,Foxa1,-0.3878,0.4094
Dppa2,Cyp2f2,-0.3887,0.4086
Dppa2,Aldh3b1,-0.39,0.4073
Dppa2,Sox18,-0.3911,0.4063
Dppa2,Ptgds,-0.3914,0.406
Dppa2,Oprk1,-0.3962,0.4016
Dppa2,LOC385262,-0.3974,0.4004
Dppa2,Wdr64,-0.4,0.3981
Dppa2,She,-0.4035,0.3949
Dppa2,LOC545920,-0.4041,0.3943
Dppa2,Thrb,-0.4055,0.393
Dppa2,Dscam,-0.4067,0.392
Dppa2,Nkx2-4,-0.413,0.3863
Dppa2,Pcdhga3,-0.4139,0.3855
Dppa2,Card9,-0.4204,0.3798
Dppa2,Sp110,-0.4211,0.3792
Dppa2,BC057170,-0.4278,0.3734
Dppa2,EG627488,-0.4308,0.3708
Dppa2,LOC638478,-0.4312,0.3705
Dppa2,Popdc3,-0.4327,0.3692
Dppa2,EG331480,-0.4355,0.3668
Dppa2,Cysltr2,-0.4363,0.3661
Dppa2,Dnahc7a,-0.4371,0.3655
Dppa2,Gpr64,-0.4398,0.3632
Dppa2,LOC635138,-0.4405,0.3626
Dppa2,B830017H08Rik,-0.4429,0.3606
Dppa2,Defcr24,-0.4429,0.3606
Dppa2,Depdc2,-0.4433,0.3603
Dppa2,Rnf182,-0.444,0.3597
Dppa2,Atp2b3,-0.4441,0.3596
Dppa2,Rasgef1c,-0.4443,0.3595
Dppa2,Defcr23,-0.4457,0.3583
Dppa2,Miox,-0.4576,0.3486
Dppa2,Cpne6,-0.468,0.3404
Dppa2,Tpo,-0.478,0.3326
Dppa2,EG380907,-0.4836,0.3283
Dppa2,4933403O03Rik,-0.4897,0.3238
Dppa2,Cpxm2,-0.4913,0.3226
Dppa2,Pla2g2e,-0.4914,0.3225
Dppa2,Atp13a4,-0.4946,0.3201
Dppa2,Pabpc3,-0.5,0.3162
Dppa2,4930486L24Rik,-0.5022,0.3146
Dppa2,Fgf1,-0.503,0.314
Dppa2,BC042720,-0.5043,0.3131
Dppa2,Epx,-0.5045,0.3129
Dppa2,Calcrl,-0.5049,0.3126
Dppa2,5730507A09Rik,-0.505,0.3126
Dppa2,EG620899,-0.5064,0.3116
Dppa2,Batf,-0.5069,0.3112
Dppa2,3110079O15Rik,-0.507,0.3111
Dppa2,A730037C10Rik,-0.5227,0.3001
Dppa2,EG226955,-0.5246,0.2988
Dppa2,Krt28,-0.5268,0.2973
Dppa2,EG668356,-0.5269,0.2972
Dppa2,Upb1,-0.529,0.2958
Dppa2,Il1r2,-0.5376,0.29
Dppa2,5830443L24Rik,-0.54,0.2884
Dppa2,Adam25,-0.5475,0.2834
Dppa2,AU022751,-0.5479,0.2832
Dppa2,Gpr120,-0.5492,0.2823
Dppa2,Slco1b2,-0.5601,0.2753
Dppa2,LOC627530,-0.5612,0.2746
Dppa2,LOC673293,-0.5639,0.2729
Dppa2,1110032F04Rik,-0.564,0.2728
Dppa2,Glrb,-0.5671,0.2709
Dppa2,EG666692,-0.5679,0.2704
Dppa2,Crygn,-0.5679,0.2704
Dppa2,Cd8b1,-0.57,0.2691
Dppa2,Abcb5,-0.573,0.2673
Dppa2,LOC669397,-0.5783,0.264
Dppa2,Cypt9,-0.5806,0.2626
Dppa2,Pdlim3,-0.5833,0.261
Dppa2,Thbs4,-0.5852,0.2598
Dppa2,Slc22a20,-0.5874,0.2585
Dppa2,Krt27,-0.5885,0.2579
Dppa2,Rhox2a,-0.5945,0.2543
Dppa2,Spaca1,-0.5971,0.2528
Dppa2,1700129I15Rik,-0.6074,0.2469
Dppa2,RP23-149D11.4,-0.6112,0.2447
Dppa2,4933416C03Rik,-0.6139,0.2432
Dppa2,C730007P19Rik,-0.6152,0.2425
Dppa2,Zscan4c,-0.6168,0.2416
Dppa2,EG666169,-0.621,0.2393
Dppa2,Tcstv1,-0.6284,0.2352
Dppa2,EG229330,-0.632,0.2333
Dppa2,EG229571,-0.6363,0.231
Dppa2,5430433E21Rik,-0.6395,0.2293
Dppa2,Tcstv3,-0.6399,0.2291
Dppa2,OTTMUSG00000001246,-0.6412,0.2284
Dppa2,BC061212,-0.6484,0.2246
Dppa2,Cebpe,-0.6564,0.2205
Dppa2,AF067063,-0.6611,0.2182
Dppa2,EG545929,-0.6703,0.2136
Dppa2,Fthl17,-0.6714,0.2131
Dppa2,Pbp2,-0.6759,0.2109
Dppa2,XM_145358,-0.6852,0.2064
Dppa2,Figla,-0.6864,0.2058
Dppa2,1500015O10Rik,-0.692,0.2032
Dppa2,OTTMUSG00000010537,-0.6924,0.203
Dppa2,EG434729,-0.6925,0.203
Dppa2,BC080695,-0.6969,0.2009
Dppa2,AF067061,-0.6974,0.2007
Dppa2,Dmrtc1c,-0.7025,0.1983
Dppa2,RP23-149D11.5,-0.7036,0.1978
Dppa2,Gm428,-0.7444,0.1801
Dppa2,Lmx1a,-0.7644,0.172
Dppa2,A430089I19Rik,-0.7663,0.1712
Dppa2,2300006N05Rik,-0.7686,0.1703
Dppa2,LOC632985,-0.7844,0.1642
Dppa2,Krt71,-0.798,0.1592
Dppa2,LOC625360,-0.815,0.1531
Dppa2,EG266459,-0.8186,0.1518
Dppa2,Tdpoz4,-0.8446,0.143
Dppa2,Dppa2,-0.9074,0.1237
Dppa2,Cox8c,-0.9145,0.1217
Dppa2,Myh4,-0.9776,0.1052
Dppa3,BC003883,0.6677,4.652
Dppa5a,Samsn1,1.3161,20.706
Dppa5a,LOC384494,0.5934,3.921
Dppa5a,Itih5l,-0.6974,0.2007
Dppa5a,A830035A12Rik,-0.9517,0.1117
Dppa5a,Cylc1,-1.0622,0.0866
Dppa5a,Dppa5a,-1.1875,0.0649
Ebf1,6230416C02Rik,0.7346,5.427
Ebf1,Sh2d1b2,0.6834,4.823
Ebf1,RP23-221M24.3,0.6216,4.184
Ebf1,Ebf1,-0.8204,0.1512
Eed,Eed,-0.5231,0.2998
Elf2,Nlrp4c,0.7717,5.911
Elf2,Ssx9,0.6688,4.664
Elf2,Clec4d,0.607,4.045
Elf2,Abca9,0.5672,3.691
Elf2,Adrb1,0.5596,3.627
Elf2,Gm44,0.5034,3.187
Elf2,BC057170,0.4923,3.106
Elf2,EG622644,0.4653,2.919
Elf2,Prickle1,0.4349,2.722
